팀 구분,파트 구분,연도,월,주차,평균인원,총 근무시간(h),총 잔업시간(h),인당 평균 근무시간(h),인당 평균 잔업시간(h)
생산1팀,제조,2026,4,2,120,5942.5,1392.5,49.52083333,11.60416667
생산2팀,제조,2026,3,4,37,1827.5,412.5,49.39189189,11.14864865
생산2팀,제조,2026,4,1,37,1649.5,314,44.58108108,8.486486486
생산2팀,제조,2026,4,2,36,1750,426,48.61111111,11.83333333
생산2팀,충전/성형,2026,3,4,51,2162,334,42.39215686,6.549019608
생산2팀,충전/성형,2026,4,1,49,2083,323,42.51020408,6.591836735
생산2팀,충전/성형,2026,4,2,50,2279.5,439.5,45.59,8.79
생산3팀,제조,2026,3,4,94,3376.5,1015,35.92021277,10.79787234
생산3팀,제조,2026,4,1,96,4321,861,45.01041667,8.96875
생산3팀,제조,2026,4,2,95,4679.5,1269,49.25789474,13.35789474
생산3팀,충전/성형,2026,3,4,89,3040,809.5,34.15730337,9.095505618
생산3팀,충전/성형,2026,4,1,89,3837.5,753.5,43.11797753,8.466292135
생산3팀,충전/성형,2026,4,2,89,3910,807.5,43.93258427,9.073033708
생산1팀,제조,2026,4,3,120,6019,1593.5,50.15833333,13.27916667
생산2팀,제조,2026,4,3,36,1709,379,47.47222222,10.52777778
생산2팀,충전/성형,2026,4,3,50,2441.5,598,48.83,11.96
생산3팀,제조,2026,4,3,94,4546.5,1206.5,48.36702128,12.83510638
생산3팀,충전/성형,2026,4,3,89,3931.5,763.5,44.1741573,8.578651685
생산1팀,지원,2025,7,0,18,3511,563,195.0555556,31.27777778
생산1팀,지원,2025,8,0,18,2916,535,162,29.69444444
생산1팀,지원,2025,9,0,17,3171,503,186.5294118,29.55882353
생산1팀,지원,2025,10,0,17,2761,621,162.4117647,36.5
생산1팀,지원,2025,11,0,18,2859,523,158.8333333,29.05555556
생산1팀,지원,2025,12,0,18,3000,590,166.6666667,32.77777778
생산2팀,지원,2025,7,0,10,1864.5,202.5,186.45,20.25
생산2팀,지원,2025,8,0,10,1607,187,160.7,18.7
생산2팀,지원,2025,9,0,10,1774.5,210.5,177.45,21.05
생산2팀,지원,2025,10,0,10,1528.5,620,152.85,62
생산2팀,지원,2025,11,0,10,1660,600,166,60
생산2팀,지원,2025,12,0,10,1658,144,165.8,14.4
생산3팀,지원,2025,7,0,15,2747,249,183.1333333,16.6
생산3팀,지원,2025,8,0,15,2214,139,147.6,9.266666667
생산3팀,지원,2025,9,0,15,2453,147.5,163.5333333,9.833333333
생산3팀,지원,2025,10,0,15,2041,164.5,136.0666667,10.96666667
생산3팀,지원,2025,11,0,15,2401,179,160.0666667,11.93333333
생산3팀,지원,2025,12,0,15,2454,98,163.6,6.533333333
생산1팀,지원,2026,1,0,17,3288.00,619.50,193.4117647,36.44117647
생산1팀,지원,2026,2,0,17,1713.00,472.00,100.7647059,27.76470588
생산1팀,지원,2026,2,4,17,612.5,132.5,36.02941176,7.794117647
생산1팀,지원,2026,3,1,17,656.5,190,38.61764706,11.17647059
생산1팀,지원,2026,3,2,17,815,175,47.94117647,10.29411765
생산1팀,지원,2026,3,3,17,644,169,37.88235294,9.941176471
생산1팀,지원,2026,3,4,17,672,128.5,39.52941176,7.558823529
생산1팀,지원,2026,4,1,18,771,123,42.80555556,6.805555556
생산1팀,지원,2026,4,2,18,811,159,45.02777778,8.805555556
생산1팀,지원,2026,4,3,18,846,180.5,47,10.02777778
생산2팀,지원,2026,1,0,9,1515,107,168.3333333,11.88888889
생산2팀,지원,2026,2,0,9,917.5,175.5,101.9444444,19.5
생산2팀,지원,2026,2,4,9,416,74,46.22222222,8.222222222
생산2팀,지원,2026,3,1,9,316.5,84.5,35.16666667,9.388888889
생산2팀,지원,2026,3,2,9,358.5,50.5,39.83333333,5.611111111
생산2팀,지원,2026,3,3,9,396,70,44,7.777777778
생산2팀,지원,2026,3,4,9,422.5,78,46.94444444,8.666666667
생산2팀,지원,2026,4,1,9,421.5,61.5,46.83333333,6.833333333
생산2팀,지원,2026,4,2,9,425,91,47.22222222,10.11111111
생산2팀,지원,2026,4,3,9,409,79,45.44444444,8.777777778
생산3팀,지원,2026,1,0,14,2197,106,156.9285714,7.571428571
생산3팀,지원,2026,2,0,15,1387,175.5,92.46666667,11.7
생산3팀,지원,2026,2,4,15,608.5,66.5,40.56666667,4.433333333
생산3팀,지원,2026,3,1,15,580.5,128.5,38.7,8.566666667
생산3팀,지원,2026,3,2,15,621.5,73.5,41.43333333,4.9
생산3팀,지원,2026,3,3,15,597.5,69.5,39.83333333,4.633333333
생산3팀,지원,2026,3,4,15,494.5,72.5,32.96666667,4.833333333
생산3팀,지원,2026,4,1,15,590.5,76.5,39.36666667,5.1
생산3팀,지원,2026,4,2,15,584,76,38.93333333,5.066666667
생산3팀,지원,2026,4,3,15,605.5,93.5,40.36666667,6.233333333
